Date,Time,RUNNING,VELOCITY,DENSITY,DISCHPR,SWINGSPD,SWINGRADIUS,CDBW,MDBW,CONFIGURATION,UWPINTAKE,UWPDISCH,UWPHP,UWPHPLIMIT,UWPGEAR,UWPRPM,UWPRPMSP,P1INTAKE,P1DISCH,P1HP,P1HPLIMIT,P1GEAR,P1ENGRPM,P1RPMSP,P1FCSP,P1PCSP,P1DPCSP,P1SMSP,P2INTAKE,P2DISCH,P2HP,P2HPLIMIT,P2GEAR,P2ENGRPM,P2RPMSP,P2FCSP,P2SPCSP,P2DPCSP,P2MCSP,CUTTERT,CUTTERTLIM,CUTTERRPM,CUTTERRPMSP,PSWINGLP,PSWINGLPLIM,PSWINGDRUMDIA,PSWINGLS,PSWINGLSSP,SSWINGLP,SSWINGLPLIM,SSWINGDRUMDIA,SSWINGLS,SSWINGLSSP,PLADDERLP,PLADDERLPLIM,PLADDERLS,PLADDERLSSP,SLADDERLP,SLADDERLPLIM,SLADDERLS,SLADDERLSSP,SPUDMAINXS_LP,SPMAINLPLIM,SPMAINLS,SPMAINLSSP,SPMAINPOS,SPUDAUXLP,SPUDAUXLPLIM,SPUDAUXLS,SPUDAUXLSSP,SPUDAUXPOS,SPUDCARLP,SPUDCARLPLIM,SPUDCARLS,SPUDCARLSSP,SPUDCARPOS,SPUDX,SPUDY,SPUDSTAT,SPUDRNG,CUTTERX,CUTTERY,CUTTERSTAT,CUTTERRNG,CUTTERELEV,TIDE,HEADING,DRAFT,LANGLE,CHOT,CDBT,MDBT,HULLPITCH,HULLROLL,HULLHEAVE,SRVSTATUS,SRVUWPINOPNSP,SRVUWPINCLSSP,SRVUWPOUTOPNSP,SRVUWPOUTCLSSP_1,SRVP1OUTOPNSP,SRVP1OUTCLSSP,SRVP2OUTOPNSP,SRVP2OUTCLSSP,GEN1LOADPC,GEN2LOADPC,GEN3LOADPC,B1P1INTAKE,B1P1DISCH,B1P1HP,B1P1HPLIMIT,B1P1GEAR,B1P1ENGRPM,B1P1RPMSP,B1P1FCSP,B1P1SPCSP,B1P1DPCSP,B1P1SMSP,B1P2INTAKE,B1P2DISCH,B1P2HP,B1P2HPLIMIT,B1P2GEAR,B1P2ENGRPM,B1P2RPMSP,B1P2FCSP,B1P2SPCSP,B1P2DPCSP,B1P2SMCSP,B2P1INTAKE,B2P1DISCH,B2P1HP,B2P1HPLIMIT,B2P1GEAR,B2P1ENGRPM,B2P1RPMSP,B2P1FCSP,B2P1SPCSP,B2P1DPCSP,B2P1SMSP,B2P2INTAKE,B2P2DISCH,B2P2HP,B2P2HPLIMIT,B2P2GEAR,B2P2ENGRPM,B2P2RPMSP,B2P2FCSP,B2P2SPCSP,B2P2DPCSP,B2P2SMCSP
2019/12/21,00:01:40,OFF,-0.1,1.00,0,0.0,387,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:01:50,OFF,-0.1,1.00,0,0.0,387,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:02:00,OFF,-0.1,1.00,0,0.0,387,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,1,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:02:10,OFF,-0.1,1.00,0,0.0,387,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,1,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:02:20,OFF,-0.1,1.00,0,0.0,387,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:02:30,OFF,-0.1,1.00,0,0.0,387,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,1,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:02:40,OFF,-0.1,1.00,0,0.0,387,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,1,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:02:50,OFF,-0.1,1.00,0,0.0,387,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:03:00,OFF,-0.1,1.00,0,0.0,373,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:03:10,OFF,-0.1,1.00,0,0.0,373,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:03:20,OFF,-0.1,1.00,0,0.0,387,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,1,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:03:30,OFF,-0.1,1.00,0,0.0,387,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:03:40,OFF,-0.1,1.00,0,0.0,387,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:03:50,OFF,-0.1,1.00,0,0.0,373,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,1,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:04:00,OFF,-0.1,1.00,0,0.0,387,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,1,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:04:10,OFF,-0.1,1.00,0,0.0,387,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,1,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:04:20,OFF,-0.1,1.00,0,0.0,387,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,1,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:04:30,OFF,-0.1,1.00,0,0.0,387,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:04:40,OFF,-0.1,1.00,0,0.0,373,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,1,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/21,00:04:50,OFF,-0.1,1.00,0,0.0,387,22.3,20.9,0,70,-1,0,0,0.00,0,0,-1,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0.0,0,0,0,0,0,0.0,3.2,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5,16.2,86.9,20.0,1000.0,0.0,0.0,0,1,15,25,129,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
